t,vx,vy,vw,encoder1,encoder2,encoder3,encoder4,gyroX,gyroY,gyroZ,accX,accY,accZ
0.01,0,0,0,0.60299967,-0.155587307,0.024426939,0.507781658,0.189274229,0.333294733,-0.275127318,0.034577724,0.013760075,9.833503393
0.01,0,0,0,0.605606084,-0.153558262,0.022592872,0.514446093,-0.010077446,0.327498273,-0.261951119,0.012111424,0.041869329,9.853181758
0.01,0,0,0,0.609288677,-0.156699025,0.020905914,0.519176685,0.083195946,0.245035256,-0.384358866,0.032410829,0.022172665,9.846668895
0.01,0,0,0,0.61484315,-0.158563639,0.021202647,0.525356684,-0.019053954,0.410514198,-0.339585272,0.038285267,0.019193005,9.838607827
0.01,0,0,0,0.619955234,-0.159244812,0.021583444,0.526587896,0.037986648,0.230917324,-0.394664462,0.018797774,0.023292172,9.840195533
0.01,0,0,0,0.62421496,-0.161012676,0.022459261,0.53010423,0.023267946,0.243151959,-0.256516453,0.039289061,0.021869177,9.834441638
0.01,0,0,0,0.627897831,-0.162854972,0.022514739,0.532261079,0.043436233,0.241923693,-0.315680064,0.030012635,0.020702611,9.833119673
0.01,0,0,0,0.634551874,-0.164003088,0.024275952,0.536719351,0.057005097,0.255033845,-0.357872742,0.041003591,0.020071085,9.838050286
0.01,0.37037037,0,0,0.71266367,-0.088013885,0.0981872,0.617616732,0.003447757,0.337709771,-0.323571583,37.46826457,0.019190742,9.843226406
0.01,0.622770974,0,0,0.844901971,0.035640885,0.225813037,0.748450599,0.207963888,0.409936394,-0.313493194,25.53851789,0.054245032,9.842402445
0.01,0.845257377,0,0,1.02117002,0.205143737,0.394835381,0.922704355,0.109375155,0.210236113,-0.341317161,22.52624145,0.043075251,9.829273496
0.01,1.041375021,0,0,1.237287613,0.415449287,0.606834591,1.139014293,0.158828341,0.262152814,-0.246043777,19.86594002,0.030247357,9.840904864
0.01,1.214249093,0,0,1.486697125,0.660820253,0.852577586,1.389005984,0.15079473,0.325154225,-0.218301885,17.51900647,0.029462113,9.84585309
0.01,1.366634385,0,0,1.769193684,0.936464596,1.129170705,1.671328514,0.12054098,0.295168887,-0.366700056,15.44159469,0.02274333,9.838547903
0.01,1.500959199,0,0,2.079669342,1.236550812,1.434814167,1.978816113,0.183928098,0.264300704,-0.336902325,13.60707868,0.036572632,9.823349586
0.01,1.619364035,0,0,2.415487306,1.564381083,1.766826741,2.310587488,-0.002868998,0.266503956,-0.422367902,12.00126285,0.013022515,9.833680192
0.01,1.723735705,0,0,2.773441701,1.910373061,2.112652115,2.662137148,0.03798245,0.299694639,-0.257547336,10.57785609,0.016320134,9.84798425
0.01,1.815737399,0,0,-3.134989836,2.278350261,2.479506155,3.03322423,0.082700649,0.264300214,-0.234747231,9.340108821,0.00247013,9.82324937
0.01,1.896835189,0,0,-2.74299894,2.659703886,2.864930216,-2.859994143,0.09211091,0.335900402,-0.250159037,8.232679089,0.018041026,9.845795114
0.01,1.968321388,0,0,-2.341784776,3.058445384,-3.016370859,-2.456614715,0.093255881,0.298020617,-0.353944099,7.261524004,0.034780062,9.84038347
0.01,2.03133515,0,0,-1.924959903,-2.815867795,-2.606160459,-2.042574414,0.020303704,0.305796674,-0.346162911,6.420754889,0.035356632,9.830750941
0.01,2.086880614,0,0,-1.495330069,-2.393260607,-2.18281267,-1.615314973,0.025974761,0.295920626,-0.323005878,5.657058373,0.025094358,9.839849121
0.01,2.135842911,0,0,-1.05657057,-1.961583129,-1.748691641,-1.178401041,0.076824238,0.346069344,-0.296784751,4.987707368,0.020436357,9.824963863
0.01,2.17900227,0,0,-0.606399786,-1.52013753,-1.302857832,-0.733228696,0.08095339,0.146852847,-0.207976188,4.386129167,0.020414307,9.831346237
0.01,2.217046445,0,0,-0.150708673,-1.072603596,-0.854572169,-0.280227133,0.00635695,0.235210544,-0.26189179,3.879170862,0.026596226,9.840391807
